A-APE. 阶段周追踪漏斗 (APE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
📌 预约=res_yw；签单=sign_yw；递交=submit_yw；批核=issue_yw(仅生效)；2026W01至最新周,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
📌 res_yw；排除流失类；⭐ 按该表自身合计APE降序,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY ACCOUNT,2026W01,2026W02,2026W03,2026W04,2026W05,2026W06,2026W07,2026W08,2026W09,2026W10,2026W11,2026W12,2026W13,2026W14,2026W15,2026W16,2026W17,2026W18,2026W19,2026W20,2026W21,2026W22,2026W23,2026W24,2026W25,2026W26,2026W27,2026W28,合计
中天家办,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745050,1677000,2422050
天誉国际,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624000,195000,819000
唯思,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390000,312000,702000
裕承资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570000,0,570000
臻略财富,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159600,316500,476100
万城保险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234000,234000
企鹅保险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228000,0,228000
紫荆保险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117000,0,117000
合计,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2833650,2734500,5568150

J-件数. 周度预约业绩—同行 (件数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
📌 同J-APE；行顺序跟随APE子表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY ACCOUNT,2026W01,2026W02,2026W03,2026W04,2026W05,2026W06,2026W07,2026W08,2026W09,2026W10,2026W11,2026W12,2026W13,2026W14,2026W15,2026W16,2026W17,2026W18,2026W19,2026W20,2026W21,2026W22,2026W23,2026W24,2026W25,2026W26,2026W27,2026W28,合计
中天家办,0,0,0,0,0,0,0,2,0,1,0,2,1,0,1,1,1,3,0,2,1,0,1,3,5,1,4,3,32
天誉国际,0,0,0,0,0,1,2,0,2,5,6,8,4,1,2,8,4,8,5,9,8,6,6,6,10,5,6,7,119
唯思,1,4,5,3,4,2,1,2,2,4,3,3,0,6,12,5,2,1,6,3,5,7,5,1,4,5,2,4,102
裕承资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
臻略财富,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,1,2,18
万城保险,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,3,3,1,2,0,0,0,1,1,1,1,0,1,18
企鹅保险,0,2,1,7,3,5,1,4,5,6,2,5,0,1,1,0,0,0,0,0,2,0,5,1,5,1,1,2,60
紫荆保险,1,6,4,4,5,6,1,3,0,9,4,6,2,4,1,4,0,4,3,3,5,2,1,3,1,0,1,2,85
合计,2,12,12,14,15,16,5,11,9,25,16,24,8,13,18,22,10,17,16,17,21,15,21,19,28,13,16,21,436

K-APE. 周度签单业绩—同行 (APE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
📌 sign_yw；排除排期及流失；⭐ 按该表自身合计APE降序,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY ACCOUNT,2026W01,2026W02,2026W03,2026W04,2026W05,2026W06,2026W07,2026W08,2026W09,2026W10,2026W11,2026W12,2026W13,2026W14,2026W15,2026W16,2026W17,2026W18,2026W19,2026W20,2026W21,2026W22,2026W23,2026W24,2026W25,2026W26,2026W27,2026W28,合计
中天家办,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23940,2398110,2422050
天誉国际,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819000,819000
唯思,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702000,702000
裕承资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570000,570000
臻略财富,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476100,476100
万城保险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234000,234000
企鹅保险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228000,228000
紫荆保险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117000,117000
合计,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23940,5544210,5568150

K-件数. 周度签单业绩—同行 (件数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
📌 同K-APE；行顺序跟随APE子表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY ACCOUNT,2026W01,2026W02,2026W03,2026W04,2026W05,2026W06,2026W07,2026W08,2026W09,2026W10,2026W11,2026W12,2026W13,2026W14,2026W15,2026W16,2026W17,2026W18,2026W19,2026W20,2026W21,2026W22,2026W23,2026W24,2026W25,2026W26,2026W27,2026W28,合计
中天家办,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,2,0,1,1,3,1,1,1,2,6,0,4,3,31
天誉国际,0,0,0,0,0,0,1,1,2,2,7,9,6,1,1,3,8,3,9,4,14,5,4,9,6,9,4,4,112
唯思,1,1,6,3,5,4,0,2,1,1,5,5,1,1,8,10,6,1,3,4,6,7,1,4,6,4,1,2,99
裕承资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
臻略财富,0,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,0,3,18
万城保险,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,2,4,2,0,0,0,1,0,2,1,0,1,18
企鹅保险,0,1,2,4,6,3,1,6,0,11,2,2,3,1,1,0,0,0,0,0,2,0,4,1,5,2,0,1,58
紫荆保险,0,5,2,5,6,3,2,4,3,4,6,7,4,1,2,2,1,2,2,5,6,4,1,4,1,0,0,1,83
合计,1,7,11,13,19,13,4,15,6,18,20,27,15,4,15,18,18,11,17,16,29,17,14,24,27,17,9,16,421

L-APE. 周度批核业绩—同行 (APE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
📌 issue_yw；仅生效；⭐ 按该表自身合计APE降序,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY ACCOUNT,2026W01,2026W02,2026W03,2026W04,2026W05,2026W06,2026W07,2026W08,2026W09,2026W10,2026W11,2026W12,2026W13,2026W14,2026W15,2026W16,2026W17,2026W18,2026W19,2026W20,2026W21,2026W22,2026W23,2026W24,2026W25,2026W26,2026W27,2026W28,合计
合计,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

L-件数. 周度批核业绩—同行 (件数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
📌 同L-APE；行顺序跟随APE子表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY ACCOUNT,2026W01,2026W02,2026W03,2026W04,2026W05,2026W06,2026W07,2026W08,2026W09,2026W10,2026W11,2026W12,2026W13,2026W14,2026W15,2026W16,2026W17,2026W18,2026W19,2026W20,2026W21,2026W22,2026W23,2026W24,2026W25,2026W26,2026W27,2026W28,合计
合计,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

M-APE. 周度预约业绩—银行 (APE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
📌 res_yw；排除流失类；⭐ 按该表自身合计APE降序,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY ACCOUNT,2026W01,2026W02,2026W03,2026W04,2026W05,2026W06,2026W07,2026W08,2026W09,2026W10,2026W11,2026W12,2026W13,2026W14,2026W15,2026W16,2026W17,2026W18,2026W19,2026W20,2026W21,2026W22,2026W23,2026W24,2026W25,2026W26,2026W27,2026W28,合计
民生银行,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1560000,2730000,4290000
平安银行,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780000,0,780000
合计,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2340000,2730000,5070000

M-件数. 周度预约业绩—银行 (件数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
📌 同M-APE；行顺序跟随APE子表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
